# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:56:50 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
651.7,-4.37015,429852032.788541,360.43,1.461255420259484e-09,3.051510920177391e-74
654.15,-4.36966,430198589.730967,360.683,1.4624335191677575e-09,3.501707642707434e-74
656.6,-4.36917,430545387.169216,360.936,1.4636124356267224e-09,4.018004225805245e-74
659.05,-4.36868,430892425.234458,361.189,1.4647921700822799e-09,4.6100585005626255e-74
661.5,-4.36819,431239704.057904,361.442,1.4659727229804682e-09,5.288932435625251e-74
663.95,-4.3677,431587223.770802,361.696,1.467154094767464e-09,6.067295261002275e-74
666.4,-4.36721,431934984.504443,361.95,1.468336285889582e-09,6.959655826877752e-74
668.85,-4.36672,432282986.390159,362.204,1.469519296793273e-09,7.982628383504363e-74
671.3,-4.36623,432631229.55932,362.458,1.4707031279251254e-09,9.15523656450188e-74
673.75,-4.36574,432979714.143338,362.712,1.4718877797318653e-09,1.049926103666737e-73
676.2,-4.36525,433328440.273666,362.967,1.4730732526603561e-09,1.2039637056506128e-73
678.65,-4.36476,433677408.081796,363.221,1.4742595471575987e-09,1.3804909060836385e-73
681.1,-4.36427,434026617.69926,363.476,1.4754466636707307e-09,1.582775043134493e-73
683.55,-4.36378,434376069.257632,363.732,1.4766346026470269e-09,1.81455577286054e-73
686.0,-4.36329,434725762.888526,363.987,1.4778233645338988e-09,2.0801130009920612e-73
688.45,-4.3628,435075698.723595,364.243,1.4790129497788962e-09,2.3843445350274523e-73
690.9,-4.36231,435425876.894533,364.498,1.4802033588297047e-09,2.732854840288085e-73
693.35,-4.36182,435776297.533075,364.754,1.4813945921341475e-09,3.132056479502433e-73
695.8,-4.36133,436126960.770995,365.011,1.482586650140184e-09,3.5892860390014027e-73
698.25,-4.36084,436477866.740109,365.267,1.4837795332959107e-09,4.112936599581982e-73
700.7,-4.36035,436829015.57227,365.524,1.484973242049561e-09,4.712609100931142e-73
