# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
177.11,-4.32378,168457451.541965,317.095,1.5764255106607707e-09,7.96404268929495e-86
178.0,-4.32289,168701584.357276,317.194,1.5787101065306685e-09,8.525399726643044e-86
178.89,-4.322,168946020.6097,317.294,1.5809975419662846e-09,9.126988858675616e-86
179.78,-4.32111,169190760.593045,317.393,1.58328781971709e-09,9.771737751175237e-86
180.67,-4.32022,169435804.601275,317.493,1.5855809425339938e-09,1.0462790148940166e-85
181.56,-4.31933,169681152.928507,317.592,1.5878769131693442e-09,1.1203522036370631e-85
182.45,-4.31844,169926805.869011,317.692,1.5901757343769255e-09,1.199755902190121e-85
183.34,-4.31755,170172763.717212,317.792,1.5924774089119584e-09,1.2848795040055902e-85
184.23,-4.31666,170419026.767686,317.892,1.5947819395310991e-09,1.3761412472181896e-85
185.12,-4.31577,170665595.315164,317.993,1.597089328992436e-09,1.4739903794746803e-85
186.01,-4.31488,170912469.654531,318.093,1.5993995800554896e-09,1.5789094872549174e-85
186.9,-4.31399,171159650.080821,318.194,1.601712695481213e-09,1.6914170023288256e-85
187.79,-4.3131,171407136.889224,318.294,1.6040286780319874e-09,1.81206989897853e-85
188.68,-4.31221,171654930.375083,318.395,1.606347530471624e-09,1.9414665966745665e-85
189.57,-4.31132,171903030.833891,318.496,1.6086692555653594e-09,2.0802500840379365e-85
190.46,-4.31043,172151438.561295,318.597,1.6109938560798588e-09,2.229111281155044e-85
191.35,-4.30954,172400153.853095,318.699,1.613321334783209e-09,2.388792658642772e-85
192.24,-4.30865,172649177.005241,318.8,1.6156516944449239e-09,2.560092133293485e-85
193.13,-4.30776,172898508.313837,318.902,1.6179849378359376e-09,2.743867261685571e-85
194.02,-4.30687,173148148.075138,319.003,1.6203210677286063e-09,2.941039754807283e-85
194.91,-4.30598,173398096.585551,319.105,1.6226600868967042e-09,3.152600338553753e-85
195.8,-4.30509,173648354.141633,319.207,1.6250019981154264e-09,3.379613986893972e-85
196.69,-4.3042,173898921.040094,319.31,1.6273468041613841e-09,3.62322555661029e-85
197.58,-4.30331,174149797.577797,319.412,1.629694507812605e-09,3.884665854776697e-85
198.47,-4.30242,174400984.051752,319.514,1.632045111848531e-09,4.1652581725846674e-85
199.36,-4.30153,174652480.759124,319.617,1.6343986190500181e-09,4.466425321767744e-85
200.25,-4.30064,174904287.997227,319.72,1.6367550321993347e-09,4.7896972127215947e-85
201.14,-4.29975,175156406.063525,319.823,1.6391143540801588e-09,5.136719016493225e-85
202.03,-4.29886,175408835.255634,319.926,1.6414765874775796e-09,5.509259956125444e-85
202.92,-4.29797,175661575.871321,320.029,1.643841735178094e-09,5.909222776434265e-85
203.81,-4.29708,175914628.208502,320.132,1.6462097999696052e-09,6.338653945154128e-85
204.7,-4.29619,176167992.565244,320.236,1.6485807846414246e-09,6.799754642569347e-85
205.59,-4.2953,176421669.239763,320.339,1.6509546919842648e-09,7.294892601248266e-85
206.48,-4.29441,176675658.530427,320.443,1.653331524790244e-09,7.826614862377554e-85
207.37,-4.29352,176929960.735751,320.547,1.6557112858528812e-09,8.397661520430452e-85
208.26,-4.29263,177184576.154402,320.651,1.6580939779670957e-09,9.010980533595599e-85
209.15,-4.29174,177439505.085197,320.756,1.660479603929207e-09,9.669743683513193e-85
210.04,-4.29085,177694747.827099,320.86,1.6628681665369327e-09,1.0377363774477462e-84
210.93,-4.28996,177950304.679224,320.965,1.6652596685893844e-09,1.1137513169423196e-84
211.82,-4.28907,178206175.940834,321.069,1.6676541128870715e-09,1.1954143767732013e-84
212.71,-4.28818,178462361.911343,321.174,1.6700515022318968e-09,1.2831508538218139e-84
213.6,-4.28729,178718862.890311,321.279,1.6724518394271554e-09,1.377418472968528e-84
214.49,-4.2864,178975679.177448,321.384,1.674855127277533e-09,1.4787098891154245e-84
215.38,-4.28551,179232811.072613,321.49,1.6772613685891057e-09,1.5875553844378594e-84
216.27,-4.28462,179490258.875812,321.595,1.679670566169338e-09,1.7045257762623877e-84
217.16,-4.28373,179748022.887201,321.701,1.682082722827082e-09,1.8302355521965207e-84
218.05,-4.28284,180006103.407082,321.807,1.6844978413725762e-09,1.9653462504571552e-84
218.94,-4.28195,180264500.735907,321.912,1.6869159246174405e-09,2.110570104783025e-84
219.83,-4.28106,180523215.174275,322.019,1.6893369753746813e-09,2.2666739748588833e-84
220.72,-4.28017,180782247.022931,322.125,1.6917609964586858e-09,2.4344835848536573e-84
221.61,-4.27928,181041596.58277,322.231,1.6941879906852195e-09,2.6148880944843306e-84
222.5,-4.27839,181301264.154833,322.338,1.696617960871429e-09,2.8088450289650433e-84
223.39,-4.2775,181561250.040309,322.444,1.6990509098358383e-09,3.0173855963195027e-84
224.28,-4.27661,181821554.540533,322.551,1.7014868403983469e-09,3.241620422809893e-84
225.17,-4.27572,182082177.956989,322.658,1.703925755380229e-09,3.4827457397061685e-84
226.06,-4.27483,182343120.591304,322.765,1.7063676576041327e-09,3.7420500572854816e-84
226.95,-4.27394,182604382.745255,322.873,1.708812549894077e-09,4.0209213648302835e-84
227.84,-4.27305,182865964.720764,322.98,1.7112604350754535e-09,4.320854898515871e-84
228.73,-4.27216,183127866.8199,323.088,1.7137113159750212e-09,4.643461522439912e-84
229.62,-4.27127,183390089.344878,323.195,1.7161651954209074e-09,4.990476771694218e-84
230.51,-4.27038,183652632.598059,323.303,1.7186220762426054e-09,5.363770610314522e-84
